"Country.Region","Date","condition","count"
"US",2020-01-22,"deaths",0
"US",2020-01-23,"deaths",0
"US",2020-01-24,"deaths",0
"US",2020-01-25,"deaths",0
"US",2020-01-26,"deaths",0
"US",2020-01-27,"deaths",0
"US",2020-01-28,"deaths",0
"US",2020-01-29,"deaths",0
"US",2020-01-30,"deaths",0
"US",2020-01-31,"deaths",0
"US",2020-02-01,"deaths",0
"US",2020-02-02,"deaths",0
"US",2020-02-03,"deaths",0
"US",2020-02-04,"deaths",0
"US",2020-02-05,"deaths",0
"US",2020-02-06,"deaths",0
"US",2020-02-07,"deaths",0
"US",2020-02-08,"deaths",0
"US",2020-02-09,"deaths",0
"US",2020-02-10,"deaths",0
"US",2020-02-11,"deaths",0
"US",2020-02-12,"deaths",0
"US",2020-02-13,"deaths",0
"US",2020-02-14,"deaths",0
"US",2020-02-15,"deaths",0
"US",2020-02-16,"deaths",0
"US",2020-02-17,"deaths",0
"US",2020-02-18,"deaths",0
"US",2020-02-19,"deaths",0
"US",2020-02-20,"deaths",0
"US",2020-02-21,"deaths",0
"US",2020-02-22,"deaths",0
"US",2020-02-23,"deaths",0
"US",2020-02-24,"deaths",0
"US",2020-02-25,"deaths",0
"US",2020-02-26,"deaths",0
"US",2020-02-27,"deaths",0
"US",2020-02-28,"deaths",0
"US",2020-02-29,"deaths",1
"US",2020-03-01,"deaths",1
"US",2020-03-02,"deaths",6
"US",2020-03-03,"deaths",7
"US",2020-03-04,"deaths",11
"US",2020-03-05,"deaths",12
"US",2020-03-06,"deaths",14
"US",2020-03-07,"deaths",17
"US",2020-03-08,"deaths",21
"US",2020-03-09,"deaths",22
"US",2020-03-10,"deaths",28
"US",2020-03-11,"deaths",33
"US",2020-03-12,"deaths",43
"US",2020-03-13,"deaths",51
"US",2020-03-14,"deaths",58
"US",2020-03-15,"deaths",70
"US",2020-03-16,"deaths",97
"US",2020-03-17,"deaths",132
"US",2020-03-18,"deaths",191
"US",2020-03-19,"deaths",264
"US",2020-03-20,"deaths",365
"US",2020-03-21,"deaths",464
"US",2020-03-22,"deaths",574
"US",2020-03-23,"deaths",762
"US",2020-03-24,"deaths",1003
"US",2020-03-25,"deaths",1329
"US",2020-03-26,"deaths",1741
"US",2020-03-27,"deaths",2259
"US",2020-03-28,"deaths",2892
"US",2020-03-29,"deaths",3484
"US",2020-03-30,"deaths",4180
"US",2020-03-31,"deaths",5272
"US",2020-04-01,"deaths",6452
"US",2020-04-02,"deaths",7955
"US",2020-04-03,"deaths",9348
"US",2020-04-04,"deaths",10889
"US",2020-04-05,"deaths",12457
"US",2020-04-06,"deaths",14233
"US",2020-04-07,"deaths",16803
"US",2020-04-08,"deaths",18957
"US",2020-04-09,"deaths",21176
"US",2020-04-10,"deaths",23403
"US",2020-04-11,"deaths",25527
"US",2020-04-12,"deaths",27342
"US",2020-04-13,"deaths",29280
"US",2020-04-14,"deaths",31734
"US",2020-04-15,"deaths",34337
"US",2020-04-16,"deaths",36506
"US",2020-04-17,"deaths",38599
"US",2020-04-18,"deaths",40568
"US",2020-04-19,"deaths",42499
"US",2020-04-20,"deaths",44679
"US",2020-04-21,"deaths",47221
"US",2020-04-22,"deaths",49659
"US",2020-04-23,"deaths",52125
"US",2020-04-24,"deaths",54285
"US",2020-04-25,"deaths",55988
"US",2020-04-26,"deaths",57322
"US",2020-04-27,"deaths",58787
"US",2020-04-28,"deaths",61028
"US",2020-04-29,"deaths",63555
"US",2020-04-30,"deaths",65971
"US",2020-05-01,"deaths",67848
"US",2020-05-02,"deaths",69535
"US",2020-05-03,"deaths",70638
"US",2020-05-04,"deaths",71956
"US",2020-05-05,"deaths",74255
"US",2020-05-06,"deaths",76599
"US",2020-05-07,"deaths",78523
"US",2020-05-08,"deaths",80275
"US",2020-05-09,"deaths",81817
"US",2020-05-10,"deaths",82717
"US",2020-05-11,"deaths",83719
"US",2020-05-12,"deaths",85333
"US",2020-05-13,"deaths",87082
"US",2020-05-14,"deaths",88856
"US",2020-05-15,"deaths",90520
"US",2020-05-16,"deaths",91792
"US",2020-05-17,"deaths",92547
"US",2020-05-18,"deaths",93714
"US",2020-05-19,"deaths",95240
"US",2020-05-20,"deaths",96758
"US",2020-05-21,"deaths",97969
"US",2020-05-22,"deaths",99214
"US",2020-05-23,"deaths",100348
"US",2020-05-24,"deaths",100964
"US",2020-05-25,"deaths",101521
"US",2020-05-26,"deaths",102185
"US",2020-05-27,"deaths",103693
"US",2020-05-28,"deaths",104876
"US",2020-05-29,"deaths",106031
"US",2020-05-30,"deaths",106985
"US",2020-05-31,"deaths",107674
"US",2020-06-01,"deaths",108451
"US",2020-06-02,"deaths",109500
"US",2020-06-03,"deaths",110494
"US",2020-06-04,"deaths",111499
"US",2020-06-05,"deaths",112405
"US",2020-06-06,"deaths",113102
"US",2020-06-07,"deaths",113543
"US",2020-06-08,"deaths",114040
"US",2020-06-09,"deaths",114970
"US",2020-06-10,"deaths",115869
"US",2020-06-11,"deaths",116723
"US",2020-06-12,"deaths",117543
"US",2020-06-13,"deaths",118316
"US",2020-06-14,"deaths",118629
"US",2020-06-15,"deaths",119012
"US",2020-06-16,"deaths",119833
"US",2020-06-17,"deaths",120564
"US",2020-06-18,"deaths",121272
"US",2020-06-19,"deaths",121934
