"Country.Region","Date","positive","deaths","recovered","currently_positive","positive_diff","deaths_diff","recovered_diff","roll_avg"
"Argentina",2020-01-22,0,0,0,0,0,0,0,NA
"Argentina",2020-01-23,0,0,0,0,0,0,0,NA
"Argentina",2020-01-24,0,0,0,0,0,0,0,NA
"Argentina",2020-01-25,0,0,0,0,0,0,0,0
"Argentina",2020-01-26,0,0,0,0,0,0,0,0
"Argentina",2020-01-27,0,0,0,0,0,0,0,0
"Argentina",2020-01-28,0,0,0,0,0,0,0,0
"Argentina",2020-01-29,0,0,0,0,0,0,0,0
"Argentina",2020-01-30,0,0,0,0,0,0,0,0
"Argentina",2020-01-31,0,0,0,0,0,0,0,0
"Argentina",2020-02-01,0,0,0,0,0,0,0,0
"Argentina",2020-02-02,0,0,0,0,0,0,0,0
"Argentina",2020-02-03,0,0,0,0,0,0,0,0
"Argentina",2020-02-04,0,0,0,0,0,0,0,0
"Argentina",2020-02-05,0,0,0,0,0,0,0,0
"Argentina",2020-02-06,0,0,0,0,0,0,0,0
"Argentina",2020-02-07,0,0,0,0,0,0,0,0
"Argentina",2020-02-08,0,0,0,0,0,0,0,0
"Argentina",2020-02-09,0,0,0,0,0,0,0,0
"Argentina",2020-02-10,0,0,0,0,0,0,0,0
"Argentina",2020-02-11,0,0,0,0,0,0,0,0
"Argentina",2020-02-12,0,0,0,0,0,0,0,0
"Argentina",2020-02-13,0,0,0,0,0,0,0,0
"Argentina",2020-02-14,0,0,0,0,0,0,0,0
"Argentina",2020-02-15,0,0,0,0,0,0,0,0
"Argentina",2020-02-16,0,0,0,0,0,0,0,0
"Argentina",2020-02-17,0,0,0,0,0,0,0,0
"Argentina",2020-02-18,0,0,0,0,0,0,0,0
"Argentina",2020-02-19,0,0,0,0,0,0,0,0
"Argentina",2020-02-20,0,0,0,0,0,0,0,0
"Argentina",2020-02-21,0,0,0,0,0,0,0,0
"Argentina",2020-02-22,0,0,0,0,0,0,0,0
"Argentina",2020-02-23,0,0,0,0,0,0,0,0
"Argentina",2020-02-24,0,0,0,0,0,0,0,0
"Argentina",2020-02-25,0,0,0,0,0,0,0,0
"Argentina",2020-02-26,0,0,0,0,0,0,0,0
"Argentina",2020-02-27,0,0,0,0,0,0,0,0
"Argentina",2020-02-28,0,0,0,0,0,0,0,0
"Argentina",2020-02-29,0,0,0,0,0,0,0,0.142857142857143
"Argentina",2020-03-01,0,0,0,0,0,0,0,0.142857142857143
"Argentina",2020-03-02,0,0,0,0,0,0,0,0.142857142857143
"Argentina",2020-03-03,1,0,0,1,1,0,0,0.285714285714286
"Argentina",2020-03-04,1,0,0,1,0,0,0,1.14285714285714
"Argentina",2020-03-05,1,0,0,1,0,0,0,1.71428571428571
"Argentina",2020-03-06,2,0,0,2,1,0,0,1.71428571428571
"Argentina",2020-03-07,8,0,0,8,6,0,0,2.28571428571429
"Argentina",2020-03-08,12,1,0,11,4,1,0,2.57142857142857
"Argentina",2020-03-09,12,1,0,11,0,0,0,2.57142857142857
"Argentina",2020-03-10,17,1,0,16,5,0,0,4.14285714285714
"Argentina",2020-03-11,19,1,0,18,2,0,0,3.71428571428571
"Argentina",2020-03-12,19,1,0,18,0,0,0,4.71428571428571
"Argentina",2020-03-13,31,2,0,29,12,1,0,6.28571428571429
"Argentina",2020-03-14,34,2,1,31,3,0,1,7.28571428571429
"Argentina",2020-03-15,45,2,1,42,11,0,0,8.57142857142857
"Argentina",2020-03-16,56,2,1,53,11,0,0,11.1428571428571
"Argentina",2020-03-17,68,2,3,63,12,0,2,13.8571428571429
"Argentina",2020-03-18,79,2,3,74,11,0,0,17.7142857142857
"Argentina",2020-03-19,97,3,3,91,18,1,0,31.5714285714286
