"Country.Region","Date","positive","deaths","recovered","currently_positive","positive_diff","deaths_diff","recovered_diff","pop_over_65","population","over_65_per_population","cases_per_population","death_rate"
"Afghanistan",2020-12-12,48229,1956,38200,8073,113,11,59,961,37171,2.58534879341422,1.29748997874687,4.05565116423728
"Albania",2020-12-12,47742,989,24520,22233,879,12,384,396,2883,13.735691987513,16.5598335067638,2.07155125466047
"Algeria",2020-12-12,91638,2584,60028,29026,517,9,438,2687,42231,6.36262461225166,2.16992256872913,2.81979091643205
"Andorra",2020-12-12,7288,78,6629,581,52,0,31,NA,NA,NA,NA,1.07025246981339
"Angola",2020-12-12,16161,366,8841,6954,100,1,43,683,30811,2.21674077439875,0.524520463470838,2.26471134211992
"Antigua and Barbuda",2020-12-12,148,4,138,6,1,0,0,8,96,8.33333333333333,1.54166666666667,2.7027027027027
"Argentina",2020-12-12,1494602,40668,1330160,123774,5274,62,5368,4932,44363,11.1173725852625,33.690282442576,2.72099194300556
"Armenia",2020-12-12,147312,2462,124521,20329,995,17,1047,331,2951,11.2165367671976,49.9193493730939,1.67128271966982
"Australia",2020-12-12,28030,908,25675,1447,5,0,4,3898,24899,15.6552471986827,1.12574802200892,3.23938637174456
"Austria",2020-12-12,319822,4415,277883,37524,3241,126,4380,1689,8893,18.9924659844822,35.9633419543461,1.38045537830418
"Azerbaijan",2020-12-12,171423,1883,107635,61905,4268,43,4085,617,9950,6.20100502512563,17.2284422110553,1.09845236636857
"Bahamas",2020-12-12,7648,163,6043,1442,25,0,0,28,385,7.27272727272727,19.8649350649351,2.13127615062761
"Bahrain",2020-12-12,88965,348,87025,1592,145,1,158,39,1570,2.48407643312102,56.6656050955414,0.391165064913168
"Bangladesh",2020-12-12,489178,7020,417503,64655,1329,34,3185,8324,161377,5.1581080327432,3.0312745930337,1.43506044834396
"Barbados",2020-12-12,292,7,269,16,0,0,0,46,286,16.0839160839161,1.02097902097902,2.3972602739726
"Belarus",2020-12-12,158334,1254,135922,21158,1975,8,1992,1403,9455,14.8387096774194,16.7460602855632,0.791996665277199
"Belgium",2020-12-12,603159,17792,0,585367,2762,100,0,2158,11485,18.789725729212,52.5171092729647,2.94980262252574
"Belize",2020-12-12,9173,192,4279,4702,208,7,60,17,382,4.45026178010471,24.0130890052356,2.09309931320179
"Benin",2020-12-12,3090,44,2972,74,0,0,0,375,11487,3.26455993732045,0.268999738835205,1.42394822006473
"Bhutan",2020-12-12,437,0,400,37,1,0,4,45,755,5.96026490066225,0.578807947019868,0
"Bolivia",2020-12-12,147030,9014,126092,11924,333,1,206,817,11353,7.19633577028098,12.9507619131507,6.1307216214378
"Bosnia and Herzegovina",2020-12-12,100306,3298,65289,31719,763,48,1556,547,3323,16.4610291904905,30.1853746614505,3.28793890694475
"Botswana",2020-12-12,12501,37,9940,2524,0,0,0,95,2255,4.21286031042129,5.54368070953437,0.295976321894248
"Brazil",2020-12-12,6880127,181123,6078287,620717,43900,686,0,18690,209468,8.92260392995589,32.8457186777933,2.63255314909158
"Brunei",2020-12-12,152,3,147,2,0,0,0,20,430,4.65116279069767,0.353488372093023,1.97368421052632
"Bulgaria",2020-12-12,178952,5626,81757,91569,1287,64,2235,1483,7050,21.0354609929078,25.3832624113475,3.14385980598149
